Year,Month,Prefecture,Tourist (Japan)
2016,Jul,Tokyo,2069994
2016,Aug,Tokyo,1802381
2016,Sep,Tokyo,1631531
2016,Oct,Tokyo,1848153
2016,Nov,Tokyo,1617057
2016,Dec,Tokyo,1864895
2017,Jan,Tokyo,2006775
2017,Feb,Tokyo,1791122
2017,Mar,Tokyo,1898944
2017,Apr,Tokyo,2300476
2017,May,Tokyo,2020226
2017,Jun,Tokyo,2117253
2017,Jul,Tokyo,2426074
2017,Aug,Tokyo,2208644
2017,Sep,Tokyo,1965310
2017,Oct,Tokyo,2289918
2017,Nov,Tokyo,2100951
2017,Dec,Tokyo,2315900
2018,Jan,Tokyo,2171045
2018,Feb,Tokyo,2280872
2018,Mar,Tokyo,2283596
2018,Apr,Tokyo,2603797
2018,May,Tokyo,2391395
2018,Jun,Tokyo,2454154
2018,Jul,Tokyo,2564205
2018,Aug,Tokyo,2295775
2018,Sep,Tokyo,1836045
2018,Oct,Tokyo,2310354
2018,Nov,Tokyo,2162583
2018,Dec,Tokyo,2412291
2019,Jan,Tokyo,2345029
2019,Feb,Tokyo,2341479
2019,Mar,Tokyo,2411650
2019,Apr,Tokyo,2640569
2019,May,Tokyo,2455865
2019,Jun,Tokyo,2614533
2019,Jul,Tokyo,2713329
2019,Aug,Tokyo,2206746
2019,Sep,Tokyo,1913105
2019,Oct,Tokyo,2177382
2019,Nov,Tokyo,2145425
2019,Dec,Tokyo,2292029
2020,Jan,Tokyo,2287755
2020,Feb,Tokyo,898976
2020,Mar,Tokyo,119645
2020,Apr,Tokyo,776
2020,May,Tokyo,108
2020,Jun,Tokyo,226
2020,Jul,Tokyo,418
2020,Aug,Tokyo,482
2020,Sep,Tokyo,497
2020,Oct,Tokyo,760
2020,Nov,Tokyo,1030
2020,Dec,Tokyo,1557
2021,Jan,Tokyo,547
2021,Feb,Tokyo,266
2021,Mar,Tokyo,374
2021,Apr,Tokyo,740
2021,May,Tokyo,1057
2021,Jun,Tokyo,1657
2021,Jul,Tokyo,42621
2021,Aug,Tokyo,13304
2021,Sep,Tokyo,1124
2021,Oct,Tokyo,2287
